1,United States of America,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
2,Germany,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
3,Japan,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
4,South Korea,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
5,Spain,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
6,France,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
7,Brazil,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
8,Italy,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
9,China,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
10,Russia,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
11,India,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
12,Saudi Arabia,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
13,Mexico,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
14,Australia,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
15,Switzerland,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
16,Netherlands,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
17,United Kingdom,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
18,Norway,NULL,11/09/2009 16:35,NULL,11/09/2009 16:35,NULL,NULL
19,Finland,1,14/10/2009 15:45,1,14/10/2009 15:45,NULL,NULL
20,Sweden,1,14/10/2009 16:03,1,14/10/2009 16:03,NULL,NULL
21,Luxembourg,5,08/12/2009 16:40,5,08/12/2009 16:40,NULL,NULL
22,Anglo-Dutch,5,05/01/2010 19:35,5,05/01/2010 19:35,NULL,NULL
23,Anglo-Australian,5,05/01/2010 19:35,5,05/01/2010 19:35,NULL,NULL
24,Canada,5,06/01/2010 10:39,5,06/01/2010 10:39,NULL,NULL
25,Hong Kong,5,06/01/2010 21:36,5,06/01/2010 21:36,NULL,NULL
